,"Random","Model 1-3","Model 4","E(I)"
0,0,14,17,0
1,1.1,0,0,0
2,0,0,3,0
3,17.5,0,0,0
4,25.5,26,26.5,0
5,0,0,7.8,0
6,0,10.6,10.6,0
7,0,8,12,0
8,17,20.4,30,6
9,0,19.5,29,0
10,0,10.7,10.8,0
11,0,10,20,0
12,10,27,27,0
13,0,0,1.7,0
14,0,8.4,9.2,5.9
15,0,8,8.7,5.5
16,0,16,16.7,0
17,0,0,0,0
18,0.7,10.6,10.6,0
19,0,1,30,0
20,0,1.8,2.5,0
21,0,9,18,0
22,0,2.6,4,0
23,0,11,11,0
24,3.3,33.8,36.1,42
25,0,13,13.7,10.5
26,0,0,0,0
27,0,8.4,9.2,0
28,0,0,16,0
29,0,0,0,0
30,29.5,31.3,31.3,0
31,0,14.6,14.6,0
32,12,0,34.6,0
33,0,1.8,1.8,10
34,22,25,25.7,0
35,0,9,9,0
36,0,2,10,0
37,0,2,2.7,0
38,0,19,19,0
39,0,0,7.3,4.2
40,5.2,6.2,41.7,0
41,0,33,33.7,0
42,0,4,7.4,0
43,0,1,1.7,0
44,0,0,0,14.5
45,0,25,33,0
46,0,0,1.4,0
47,0,0,0,0
48,16.92,19,18,0
49,0,11.6,11.6,0
50,0,11.3,10.4,0
51,0,3.5,10.1,0
52,0,5.7,5.7,0
53,0,1.1,1.1,0
54,0,0,0,0
55,23,23.5,23.5,0
56,0,25.6,35,0
57,0,0,0,0
58,0,2.9,2.9,0
59,0,6,6,0
60,0,1.1,10.1,0
61,0,13.5,14,0
62,0,10,18,0
63,0,13,13,0
64,0,0,7.2,0
65,0,0,0,0
66,8,24,16,0
67,1.8,0,16,5.5
68,0,0,0.1,0
69,0,0,0,0
70,0,4,4.7,14.85
71,0,1.88,2.68,0
72,0,10.5,10.6,0
73,0,5,5,0
74,13.5,0,0,0
75,0,3,3,0
76,0,19,19,0
77,0,11,11,0
78,0,4.1,4.8,0
79,3,0,25.6,0
80,0,16.2,16.2,0
81,0,11.5,4.3,9.7
82,4,9,9.8,6.5
83,0,0.8,19,0
84,0,32.5,32.5,0
85,0,0,8,0
86,0,14.5,18.9,0
87,0,19,19,0
88,0,0,0,0
89,0,3.5,11.5,0
90,0,6.9,6.9,0
91,0,11.5,11.5,0
92,0,0.3,1,0
93,0,0,2,0
94,0,18,27,0
95,11,15,15,0
96,0,21.1,21.1,0
97,0,19,19,0
98,0,28.7,28.7,25.5
99,0,0,0,0
,,,,
,2.2502,9.0148,12.3248,1.6065
